,dt,venuetype,venueid,revenue,Unnamed: 4
0,2022-11-08,Pub,443,250.27998021,
1,2023-03-23,Pub,893,623.2998513,
2,2022-10-28,Pub,894,393.95872128,
3,2023-04-18,Pub,1342,805.982082209999,
4,2023-01-27,Pub,893,563.9379607,
5,2022-10-23,Pub,893,1439.52584705,
6,2023-05-04,Pub,444,301.96335096,
7,2022-11-29,Pub,1800,367.44643728,
8,2022-12-16,Pub,1799,336.918669075,
9,2023-01-18,Pub,892,267.78681914,
10,2022-05-20,Pub,1798,842.81063833,
11,2023-02-12,Pub,1798,1766.43873513,
12,2022-11-14,Pub,1799,479.17321824,
13,2022-07-09,Pub,1342,4072.33052064001,
14,2022-08-29,Pub,1344,1041.529315,
15,2022-03-16,Pub,1799,995.781844155001,
16,2023-05-24,Pub,1799,194.66411991,
17,2022-11-26,Pub,892,1432.07733714,
18,2023-01-14,Pub,1798,1570.16776456,
19,2022-09-07,Pub,894,258.53541084,
20,2023-05-05,Pub,1342,1498.84387218,
21,2022-08-02,Pub,1799,284.50909833,
22,2022-09-22,Pub,1798,946.71879922,
23,2022-07-22,Pub,892,337.64425022,
24,2022-12-12,Pub,894,369.3363012,
25,2022-07-21,Pub,1343,231.54939346,
26,2022-05-26,Pub,443,282.36715716,
27,2022-11-06,Pub,1342,3365.32869414001,
28,2022-11-23,Pub,894,233.91299076,
29,2022-12-03,Pub,1342,3888.51004575001,
30,2022-07-11,Pub,894,357.02509116,
31,2022-07-24,Pub,444,1056.87172836,
32,2022-09-12,Pub,894,455.51477148,
33,2022-05-18,Pub,1800,612.4107288,
34,2022-03-13,Pub,1798,2678.52148072,
35,2022-07-20,Pub,1343,294.69922804,
36,2022-03-19,Pub,1342,7663.89979925999,
37,2023-04-28,Pub,1343,420.9988972,
38,2022-11-18,Pub,1798,461.8140484,
39,2023-05-03,Pub,894,147.73452048,
40,2023-02-24,Pub,892,570.50235382,
41,2023-03-13,Pub,892,372.57296576,
42,2022-08-20,Pub,1344,3541.199671,
43,2022-03-16,Pub,1342,3068.38792701,
44,2022-04-20,Pub,1344,1447.72574785,
45,2022-05-30,Pub,893,786.54505045,
46,2022-10-14,Pub,893,400.69276155,
47,2022-07-03,Pub,894,615.560502,
48,2022-12-20,Pub,1800,571.58334688,
