dt;venuetype;venueid;revenue;
11/8/22;Pub;443;250,27998021;
3/23/23;Pub;893;623,2998513;
10/28/22;Pub;894;393,95872128;
4/18/23;Pub;1342;805,982082209999;
1/27/23;Pub;893;563,9379607;
10/23/22;Pub;893;1439,52584705;
5/4/23;Pub;444;301,96335096;
11/29/22;Pub;1800;367,44643728;
12/16/22;Pub;1799;336,918669075;
1/18/23;Pub;892;267,78681914;
5/20/22;Pub;1798;842,81063833;
2/12/23;Pub;1798;1766,43873513;
11/14/22;Pub;1799;479,17321824;
7/9/22;Pub;1342;4072,33052064001;
8/29/22;Pub;1344;1041,529315;
3/16/22;Pub;1799;995,781844155001;
5/24/23;Pub;1799;194,66411991;
11/26/22;Pub;892;1432,07733714;
1/14/23;Pub;1798;1570,16776456;
9/7/22;Pub;894;258,53541084;
5/5/23;Pub;1342;1498,84387218;
8/2/22;Pub;1799;284,50909833;
9/22/22;Pub;1798;946,71879922;
7/22/22;Pub;892;337,64425022;
12/12/22;Pub;894;369,3363012;
7/21/22;Pub;1343;231,54939346;
5/26/22;Pub;443;282,36715716;
11/6/22;Pub;1342;3365,32869414001;
11/23/22;Pub;894;233,91299076;
12/3/22;Pub;1342;3888,51004575001;
7/11/22;Pub;894;357,02509116;
7/24/22;Pub;444;1056,87172836;
9/12/22;Pub;894;455,51477148;
5/18/22;Pub;1800;612,4107288;
3/13/22;Pub;1798;2678,52148072;
7/20/22;Pub;1343;294,69922804;
3/19/22;Pub;1342;7663,89979925999;
4/28/23;Pub;1343;420,9988972;
11/18/22;Pub;1798;461,8140484;
5/3/23;Pub;894;147,73452048;
2/24/23;Pub;892;570,50235382;
3/13/23;Pub;892;372,57296576;
8/20/22;Pub;1344;3541,199671;
3/16/22;Pub;1342;3068,38792701;
4/20/22;Pub;1344;1447,72574785;
5/30/22;Pub;893;786,54505045;
10/14/22;Pub;893;400,69276155;
7/3/22;Pub;894;615,560502;
12/20/22;Pub;1800;571,58334688;
8/3/22;Pub;894;467,82598152;
3/3/23;Pub;1798;577,2675605;
7/28/22;Pub;1800;449,10120112;
3/20/23;Pub;1344;1041,529315;
7/8/22;Pub;1342;1216,04314158;
5/31/22;Pub;1344;874,884624600001;
8/19/22;Pub;1800;847,16817484;
7/4/22;Pub;444;276,79973838;
6/13/22;Pub;1799;441,737810565;
9/8/22;Pub;1800;612,4107288;
8/8/22;Pub;1798;738,90247744;
3/12/22;Pub;1800;3582,60276348001;
5/2/23;Pub;1799;277,022016795;
7/31/22;Pub;1342;3846,08993616001;
5/21/23;Pub;1343;2147,09437572;
11/9/22;Pub;1342;1117,06288587;
2/25/23;Pub;893;1335,6425385;
4/20/22;Pub;1800;714,479183600001;
10/10/22;Pub;1344;1239,41988485;
5/23/23;Pub;443;237,44510943;
6/25/22;Pub;1344;3301,64792855;
1/28/23;Pub;1344;2905,86678885;
6/10/22;Pub;443;308,03689872;
5/28/22;Pub;893;1706,65435475;
4/2/23;Pub;1800;1714,75004064;
7/8/22;Pub;1800;612,4107288;
3/29/22;Pub;1798;981,35485285;
3/19/23;Pub;1343;1505,07105749;
6/24/22;Pub;442;356,087432225;
11/22/22;Pub;892;430,78749166;
11/27/22;Pub;1798;1269,9886331;
11/30/22;Pub;443;231,02767404;
1/18/23;Pub;1799;351,892832145;
3/23/22;Pub;443;673,83071595;
1/17/23;Pub;893;563,9379607;
3/8/23;Pub;1344;1010,28343555;
5/7/22;Pub;1800;1745,37057708;
5/2/23;Pub;1342;933,242410979999;
8/2/22;Pub;1344;1458,141041;
7/26/22;Pub;894;320,09146104;
4/14/22;Pub;443;423,55073574;
10/29/22;Pub;1344;3603,6914299;
9/21/22;Pub;444;377,4541887;
5/22/23;Pub;443;308,03689872;
1/7/23;Pub;1344;2937,1126683;
8/7/22;Pub;892;861,57498332;
3/25/23;Pub;1800;1459,57890364;
10/31/22;Pub;1344;1333,1575232;
10/26/22;Pub;1799;284,50909833;
6/22/22;Pub;1799;486,660299775;
10/31/22;Pub;893;474,8951248;
5/22/23;Pub;444;339,70876983;
12/20/22;Pub;1798;600,35826292;
5/21/23;Pub;1344;3280,81734224999;
11/5/22;Pub;892;1059,50437138;
3/3/23;Pub;892;279,42972432;
3/3/22;Pub;892;1513,5776734;
6/5/22;Pub;442;1002,013472075;
2/10/23;Pub;1344;1197,75871225;
5/1/23;Pub;443;429,96817113;
2/27/23;Pub;893;489,73559745;
6/25/22;Pub;1798;1547,07706214;
5/20/22;Pub;892;721,86012116;
1/27/23;Pub;444;289,38154467;
8/20/22;Pub;1343;2083,94454114;
5/15/22;Pub;444;868,14463401;
10/7/22;Pub;894;467,82598152;
3/17/23;Pub;1800;602,20388332;
7/26/22;Pub;1798;519,54080445;
6/24/22;Pub;444;264,21793209;
9/11/22;Pub;443;577,5691851;
11/2/22;Pub;1798;404,08729235;
4/21/23;Pub;1799;336,918669075;
3/11/23;Pub;443;936,94556694;
2/5/23;Pub;1800;1918,88695024;
7/24/22;Pub;894;1243,43221404;
10/8/22;Pub;1798;1928,07365207;
4/25/23;Pub;1343;526,2486215;
8/11/22;Pub;1798;427,17799477;
10/9/22;Pub;444;943,635471749999;
11/6/22;Pub;1799;943,372273410001;
9/2/22;Pub;893;489,73559745;
6/13/22;Pub;1344;1197,75871225;
9/9/22;Pub;892;256,14391396;
8/19/22;Pub;442;430,6173599;
8/16/22;Pub;1344;614,50229585;
3/2/23;Pub;1343;663,07326309;
4/13/22;Pub;1799;494,14738131;
1/22/23;Pub;1343;1673,47061637;
2/8/23;Pub;894;86,17847028;
8/8/22;Pub;1800;632,82441976;
3/18/22;Pub;892;1141,00470764;
8/3/22;Pub;892;163,00067252;
4/19/23;Pub;1799;359,37991368;
7/12/22;Pub;442;198,7464738;
10/17/22;Pub;442;207,027576875;
3/9/23;Pub;443;263,11485099;
2/4/23;Pub;892;1711,50706146;
4/23/22;Pub;894;1501,96762488;
3/15/23;Pub;894;283,15783092;
6/28/22;Pub;1799;351,892832145;
3/6/22;Pub;443;1495,26244587;
9/24/22;Pub;442;869,515822875;
2/24/23;Pub;1343;684,12320795;
9/27/22;Pub;443;314,45433411;
8/31/22;Pub;443;237,44510943;
7/19/22;Pub;1344;781,14698625;
9/14/22;Pub;1343;547,29856636;
4/13/22;Pub;1798;738,90247744;
9/6/22;Pub;1344;1249,835178;
8/7/22;Pub;443;481,30765425;
4/26/22;Pub;1798;611,90361413;
3/11/23;Pub;1342;3266,34843843001;
8/9/22;Pub;443;211,77536787;
5/7/22;Pub;894;1243,43221404;
1/31/23;Pub;1798;253,99772662;
4/23/23;Pub;893;1172,39733935;
3/10/22;Pub;443;770,0922468;
6/18/22;Pub;1798;1570,16776456;
