,dt,hires,dropouts,total_employees,dt_time,turnover,employerId,location,buildingId,location_x,location_y,buildingType,businessType
444,2022-03-02,0.0,0.0,1.0,2022-03-02,,379,POINT (-1849.997168394888 1744.6010147106394),823,-1849.997168394888,1744.6010147106394,Commercial,Other
890,2022-03-02,0.0,0.0,4.0,2022-03-02,,381,POINT (877.2786575380362 1358.5441805909259),279,877.2786575380362,1358.5441805909259,Commercial,Other
1335,2022-03-02,0.0,0.0,4.0,2022-03-02,,382,POINT (670.3987400004884 1584.4743462106067),3,670.3987400004884,1584.4743462106067,Commercial,Other
1780,2022-03-02,0.0,0.0,6.0,2022-03-02,,383,POINT (829.9556783260775 2163.4803049897623),146,829.9556783260775,2163.4803049897623,Commercial,Other
2225,2022-03-02,0.0,0.0,3.0,2022-03-02,,384,POINT (880.1644882398598 4339.7016557216575),527,880.1644882398598,4339.7016557216575,Commercial,Other
2670,2022-03-02,0.0,0.0,5.0,2022-03-02,,385,POINT (231.13884534051988 1095.6471792268785),782,231.13884534051988,1095.6471792268785,Commercial,Other
3115,2022-03-02,0.0,0.0,5.0,2022-03-02,,386,POINT (-1349.8842287593952 1610.4623628717086),596,-1349.8842287593952,1610.4623628717086,Commercial,Other
3560,2022-03-02,0.0,0.0,2.0,2022-03-02,,387,POINT (864.9382009582821 1556.3972795892669),880,864.9382009582821,1556.3972795892669,Commercial,Other
4005,2022-03-02,0.0,0.0,5.0,2022-03-02,,388,POINT (611.8427226577171 2550.7250184246723),986,611.8427226577171,2550.7250184246723,Commercial,Other
4450,2022-03-02,0.0,0.0,3.0,2022-03-02,,389,POINT (1749.107722959826 4023.6598528872755),1020,1749.107722959826,4023.6598528872755,Commercial,Other
4895,2022-03-02,0.0,0.0,3.0,2022-03-02,,390,POINT (994.4462620941047 3762.3654281251634),347,994.4462620941047,3762.3654281251634,Commercial,Other
5340,2022-03-02,0.0,0.0,2.0,2022-03-02,,391,POINT (609.8156412485578 787.4692664792319),632,609.8156412485578,787.4692664792319,Commercial,Other
5785,2022-03-02,0.0,0.0,3.0,2022-03-02,,392,POINT (-885.2966139548657 1555.9764946386085),315,-885.2966139548657,1555.9764946386085,Commercial,Other
6230,2022-03-02,0.0,0.0,4.0,2022-03-02,,393,POINT (903.9691099852218 4220.741537877808),592,903.9691099852218,4220.741537877808,Commercial,Other
6675,2022-03-02,0.0,0.0,1.0,2022-03-02,,394,POINT (865.149408963124 982.7393731902811),893,865.149408963124,982.7393731902811,Commercial,Other
7120,2022-03-02,0.0,0.0,3.0,2022-03-02,,395,POINT (286.586327845334 1725.5999247626096),230,286.586327845334,1725.5999247626096,Commercial,Other
7565,2022-03-02,0.0,0.0,7.0,2022-03-02,,396,POINT (868.902110395577 4390.34074468453),590,868.902110395577,4390.34074468453,Commercial,Other
8010,2022-03-02,0.0,0.0,5.0,2022-03-02,,397,POINT (1499.3204774627252 4304.553083816536),351,1499.3204774627252,4304.553083816536,Commercial,Other
8455,2022-03-02,0.0,0.0,4.0,2022-03-02,,398,POINT (754.0987512384932 1394.0500627767071),692,754.0987512384932,1394.0500627767071,Commercial,Other
8900,2022-03-02,0.0,0.0,5.0,2022-03-02,,399,POINT (1626.36173317109 4226.189405838731),180,1626.36173317109,4226.189405838731,Commercial,Other
9345,2022-03-02,0.0,0.0,2.0,2022-03-02,,400,POINT (753.1769059100845 1739.395851679909),227,753.1769059100845,1739.395851679909,Commercial,Other
9790,2022-03-02,0.0,0.0,5.0,2022-03-02,,401,POINT (-1674.8630003427375 1638.1520588255166),623,-1674.8630003427375,1638.1520588255166,Commercial,Other
10235,2022-03-02,0.0,0.0,4.0,2022-03-02,,402,POINT (1004.1152674725888 4462.540163068401),717,1004.1152674725888,4462.540163068401,Commercial,Other
10680,2022-03-02,0.0,0.0,6.0,2022-03-02,,403,POINT (2026.3999572104358 4142.402774048681),1023,2026.3999572104358,4142.402774048681,Commercial,Other
11125,2022-03-02,0.0,0.0,1.0,2022-03-02,,404,POINT (2630 4050),103,2630.0,4050.0,Commercial,Other
11570,2022-03-02,0.0,0.0,5.0,2022-03-02,,405,POINT (1535.4111740520664 4021.741043075247),982,1535.4111740520664,4021.741043075247,Commercial,Other
12015,2022-03-02,1.0,1.0,7.0,2022-03-02,0.0,406,POINT (973.2374190327052 3805.640410966102),347,973.2374190327052,3805.640410966102,Commercial,Other
12460,2022-03-02,1.0,1.0,5.0,2022-03-02,0.0,407,POINT (1105.2630658126443 3730.801103253373),1033,1105.2630658126443,3730.801103253373,Commercial,Other
12905,2022-03-02,0.0,0.0,6.0,2022-03-02,,408,POINT (412.9860808984934 1033.1806025214216),516,412.9860808984934,1033.1806025214216,Commercial,Other
13350,2022-03-02,0.0,0.0,1.0,2022-03-02,,409,POINT (1207.490101417887 4007.885706041321),225,1207.490101417887,4007.885706041321,Commercial,Other
13795,2022-03-02,0.0,0.0,4.0,2022-03-02,,410,POINT (1376.3976505541523 4822.779542501879),1024,1376.3976505541523,4822.779542501879,Commercial,Other
14240,2022-03-02,1.0,1.0,3.0,2022-03-02,0.0,411,POINT (916.9315425022253 4292.958506850986),527,916.9315425022253,4292.958506850986,Commercial,Other
