Table 1
employerid;count;;;
837;10;;;
438;10;;;
1330;10;;;
437;9;;;
877;8;;;
1319;8;;;
429;8;;;
853;8;;;
1786;8;;;
1771;8;;;
883;8;;;
876;8;;;
1759;7;;;
406;7;;;
1315;7;;;
396;7;;;
867;7;;;
878;7;;;
1299;6;;;
1298;6;;;
1297;6;;;
1745;6;;;
383;6;;;
865;6;;;
885;6;;;
1795;6;;;
857;6;;;
1793;6;;;
1285;6;;;
403;6;;;
1737;6;;;
868;6;;;
408;6;;;
397;6;;;
1283;6;;;
439;6;;;
1763;6;;;
1792;6;;;
1323;6;;;
1314;6;;;
873;6;;;
1790;6;;;
874;6;;;
1306;6;;;
1749;6;;;
1789;6;;;
1286;5;;;
847;5;;;
1281;5;;;
891;5;;;
1782;5;;;
887;5;;;
871;5;;;
399;5;;;
401;5;;;
1770;5;;;
405;5;;;
407;5;;;
1768;5;;;
1765;5;;;
413;5;;;
414;5;;;
415;5;;;
416;5;;;
418;5;;;
1748;5;;;
421;5;;;
385;5;;;
423;5;;;
424;5;;;
386;5;;;
427;5;;;
1742;5;;;
1736;5;;;
388;5;;;
1341;5;;;
434;5;;;
435;5;;;
436;5;;;
440;5;;;
441;5;;;
1326;5;;;
1311;5;;;
1307;5;;;
841;5;;;
1305;5;;;
1788;5;;;
859;5;;;
849;5;;;
1796;5;;;
1295;5;;;
1291;5;;;
855;5;;;
410;4;;;
381;4;;;
382;4;;;
393;4;;;
398;4;;;
402;4;;;
422;4;;;
425;4;;;
426;4;;;
432;4;;;
830;4;;;
838;4;;;
843;4;;;
845;4;;;
850;4;;;
852;4;;;
863;4;;;
869;4;;;
870;4;;;
880;4;;;
888;4;;;
1284;4;;;
1287;4;;;
1289;4;;;
1300;4;;;
1304;4;;;
1313;4;;;
1316;4;;;
1337;4;;;
1339;4;;;
1735;4;;;
1746;4;;;
1757;4;;;
1766;4;;;
1767;4;;;
1779;4;;;
1760;3;;;
851;3;;;
1296;3;;;
1756;3;;;
1282;3;;;
1755;3;;;
417;3;;;
1334;3;;;
1744;3;;;
886;3;;;
390;3;;;
884;3;;;
1743;3;;;
1340;3;;;
428;3;;;
1734;3;;;
389;3;;;
1740;3;;;
872;3;;;
1781;3;;;
1302;3;;;
1303;3;;;
856;3;;;
842;3;;;
840;3;;;
1776;3;;;
1784;3;;;
1309;3;;;
1288;3;;;
1785;3;;;
384;3;;;
392;3;;;
1764;3;;;
1279;3;;;
854;3;;;
1317;3;;;
1318;3;;;
833;3;;;
862;3;;;
411;3;;;
864;3;;;
1761;3;;;
395;3;;;
1325;3;;;
831;3;;;
848;2;;;
1290;2;;;
1292;2;;;
1294;2;;;
1787;2;;;
1308;2;;;
1310;2;;;
836;2;;;
834;2;;;
391;2;;;
1320;2;;;
1322;2;;;
1324;2;;;
1328;2;;;
1329;2;;;
1331;2;;;
1336;2;;;
1338;2;;;
1738;2;;;
1739;2;;;
387;2;;;
419;2;;;
1750;2;;;
1752;2;;;
1794;2;;;
412;2;;;
400;2;;;
1772;2;;;
1773;2;;;
1774;2;;;
1778;2;;;
1780;2;;;
879;2;;;
881;2;;;
882;2;;;
866;2;;;
889;2;;;
1280;2;;;
861;2;;;
1301;1;;;
860;1;;;
1327;1;;;
1754;1;;;
1332;1;;;
829;1;;;
1758;1;;;
1762;1;;;
1321;1;;;
379;1;;;
1312;1;;;
409;1;;;
1769;1;;;
404;1;;;
890;1;;;
394;1;;;
844;1;;;
1783;1;;;
1775;1;;;
839;1;;;
430;1;;;
1777;1;;;
846;1;;;
431;1;;;
1741;1;;;
433;1;;;
1791;1;;;
1335;1;;;
420;1;;;
1797;1;;;
1747;1;;;
1293;1;;;
1333;1;;;
875;1;;;
1751;1;;;
1753;1;;;
832;0;;;
380;0;;;
858;0;;;
835;0;;;
