Table 1
dt;employerid;hires;dropouts;total_employees
2023-05-20;379;0;0;1
2023-05-20;381;0;0;4
2023-05-20;382;0;0;4
2023-05-20;383;0;0;6
2023-05-20;384;0;0;3
2023-05-20;385;0;0;5
2023-05-20;386;0;0;5
2023-05-20;387;0;0;2
2023-05-20;388;0;0;5
2023-05-20;389;0;0;3
2023-05-20;390;0;0;3
2023-05-20;391;0;0;2
2023-05-20;392;0;0;3
2023-05-20;393;0;0;4
2023-05-20;394;0;0;1
2023-05-20;395;0;0;3
2023-05-20;396;0;0;7
2023-05-20;397;0;0;6
2023-05-20;398;0;0;4
2023-05-20;399;0;0;5
2023-05-20;400;0;0;2
2023-05-20;401;0;0;5
2023-05-20;402;0;0;4
2023-05-20;403;0;0;6
2023-05-20;404;0;0;1
2023-05-20;405;0;0;5
2023-05-20;406;0;0;6
2023-05-20;407;0;0;4
2023-05-20;408;0;0;6
2023-05-20;409;0;0;1
2023-05-20;410;0;0;4
2023-05-20;411;0;0;2
2023-05-20;412;0;0;2
2023-05-20;413;0;0;5
2023-05-20;414;0;0;5
2023-05-20;415;0;0;5
2023-05-20;416;0;0;4
2023-05-20;417;0;0;3
2023-05-20;418;0;0;4
2023-05-20;419;0;0;2
2023-05-20;421;0;0;5
2023-05-20;422;0;0;4
2023-05-20;423;0;0;5
2023-05-20;424;0;0;5
2023-05-20;425;0;0;4
2023-05-20;426;0;0;4
2023-05-20;427;0;0;5
2023-05-20;428;0;0;3
2023-05-20;429;0;0;5
2023-05-20;430;0;0;1
2023-05-20;431;0;0;1
2023-05-20;432;0;0;4
2023-05-20;433;0;0;1
2023-05-20;434;0;0;5
2023-05-20;435;0;0;5
2023-05-20;436;0;0;3
2023-05-20;437;0;0;7
2023-05-20;438;0;0;5
2023-05-20;439;0;0;6
2023-05-20;440;0;0;5
2023-05-20;441;0;0;5
2023-05-20;829;0;0;1
2023-05-20;830;0;0;4
2023-05-20;831;0;0;3
2023-05-20;833;0;0;3
2023-05-20;834;0;0;2
2023-05-20;836;0;0;2
2023-05-20;837;0;0;6
2023-05-20;838;0;0;4
2023-05-20;839;0;0;1
2023-05-20;840;0;0;3
2023-05-20;841;0;0;5
2023-05-20;842;0;0;3
2023-05-20;843;0;0;4
2023-05-20;844;0;0;1
2023-05-20;845;0;0;4
2023-05-20;846;0;0;1
2023-05-20;847;0;0;5
2023-05-20;848;0;0;1
2023-05-20;849;0;0;2
2023-05-20;850;0;0;4
2023-05-20;851;0;0;3
2023-05-20;852;0;0;4
2023-05-20;853;0;0;4
2023-05-20;854;0;0;3
2023-05-20;855;0;0;5
2023-05-20;856;0;0;3
2023-05-20;857;0;0;5
2023-05-20;859;0;0;5
2023-05-20;860;0;0;1
2023-05-20;861;0;0;2
2023-05-20;862;0;0;3
2023-05-20;863;0;0;4
2023-05-20;864;0;0;3
2023-05-20;865;0;0;5
2023-05-20;866;0;0;2
2023-05-20;867;0;0;5
2023-05-20;868;0;0;6
2023-05-20;869;0;0;4
2023-05-20;870;0;0;4
2023-05-20;871;0;0;5
2023-05-20;872;0;0;3
2023-05-20;873;0;0;6
2023-05-20;874;0;0;6
2023-05-20;875;0;0;1
2023-05-20;876;0;0;7
2023-05-20;877;0;0;8
2023-05-20;878;0;0;6
2023-05-20;879;0;0;2
2023-05-20;880;0;0;3
2023-05-20;881;0;0;2
2023-05-20;882;0;0;2
2023-05-20;883;0;0;8
2023-05-20;884;0;0;1
2023-05-20;885;0;0;5
2023-05-20;886;0;0;3
2023-05-20;887;0;0;5
2023-05-20;888;0;0;3
2023-05-20;889;0;0;2
2023-05-20;890;0;0;1
2023-05-20;891;0;0;5
2023-05-20;1279;0;0;3
2023-05-20;1280;0;0;2
2023-05-20;1281;0;0;4
