Table 1
participantid;from_timestamp;to_timestamps;hour_diff;venueid;venuetype
619;3/1/22;3/1/22;2;1798;Pub
619;3/1/22;3/1/22;0;1414;Apartment
619;3/1/22;3/1/22;2;1800;Pub
619;3/1/22;3/1/22;1;1414;Apartment
619;3/1/22;3/1/22;3;1344;Pub
619;3/1/22;3/2/22;14;1414;Apartment
619;3/2/22;3/2/22;0;1803;Restaurant
619;3/2/22;3/2/22;0;1414;Apartment
619;3/2/22;3/2/22;1;1798;Pub
619;3/2/22;3/2/22;1;1414;Apartment
619;3/2/22;3/2/22;3;1344;Pub
619;3/2/22;3/2/22;0;1414;Apartment
619;3/2/22;3/2/22;2;1799;Pub
619;3/2/22;3/2/22;1;1414;Apartment
619;3/2/22;3/2/22;3;1344;Pub
619;3/2/22;3/2/22;0;1414;Apartment
619;3/2/22;3/2/22;2;1799;Pub
619;3/2/22;3/3/22;10;1414;Apartment
619;3/3/22;3/3/22;8;1766;Workplace
619;3/3/22;3/3/22;1;1414;Apartment
619;3/3/22;3/3/22;3;1344;Pub
619;3/3/22;3/3/22;0;1414;Apartment
619;3/3/22;3/3/22;1;1799;Pub
619;3/3/22;3/4/22;8;1414;Apartment
619;3/4/22;3/4/22;8;1766;Workplace
619;3/4/22;3/4/22;0;1414;Apartment
619;3/4/22;3/4/22;2;1799;Pub
619;3/4/22;3/4/22;0;1414;Apartment
619;3/4/22;3/4/22;1;1799;Pub
619;3/4/22;3/4/22;0;1414;Apartment
619;3/4/22;3/5/22;1;1798;Pub
619;3/5/22;3/5/22;8;1414;Apartment
619;3/5/22;3/5/22;8;1766;Workplace
619;3/5/22;3/6/22;15;1414;Apartment
619;3/6/22;3/6/22;8;1766;Workplace
619;3/6/22;3/6/22;0;1414;Apartment
619;3/6/22;3/6/22;2;1798;Pub
619;3/6/22;3/6/22;0;1414;Apartment
619;3/6/22;3/6/22;3;1798;Pub
619;3/6/22;3/7/22;8;1414;Apartment
619;3/7/22;3/7/22;8;1766;Workplace
619;3/7/22;3/9/22;6;1414;Apartment
619;3/9/22;3/9/22;0;1803;Restaurant
619;3/9/22;3/10/22;8;1414;Apartment
619;3/10/22;3/10/22;8;1766;Workplace
619;3/10/22;3/11/22;15;1414;Apartment
619;3/11/22;3/11/22;8;1766;Workplace
619;3/11/22;3/12/22;15;1414;Apartment
619;3/12/22;3/12/22;8;1766;Workplace
619;3/12/22;3/12/22;0;1414;Apartment
619;3/12/22;3/12/22;1;1798;Pub
619;3/12/22;3/12/22;0;1414;Apartment
619;3/12/22;3/12/22;2;1798;Pub
619;3/12/22;3/12/22;1;1414;Apartment
619;3/12/22;3/13/22;1;1342;Pub
619;3/13/22;3/13/22;0;448;Restaurant
619;3/13/22;3/13/22;1;1342;Pub
619;3/13/22;3/13/22;6;1414;Apartment
619;3/13/22;3/13/22;8;1766;Workplace
619;3/13/22;3/14/22;15;1414;Apartment
619;3/14/22;3/14/22;8;1766;Workplace
619;3/14/22;3/16/22;15;1414;Apartment
619;3/16/22;3/16/22;0;1803;Restaurant
619;3/16/22;3/17/22;0;1414;Apartment
619;3/17/22;3/17/22;8;1766;Workplace
619;3/17/22;3/18/22;15;1414;Apartment
619;3/18/22;3/18/22;8;1766;Workplace
619;3/18/22;3/19/22;15;1414;Apartment
619;3/19/22;3/19/22;8;1766;Workplace
619;3/19/22;3/20/22;15;1414;Apartment
619;3/20/22;3/20/22;8;1766;Workplace
619;3/20/22;3/20/22;0;1414;Apartment
619;3/20/22;3/20/22;1;1799;Pub
619;3/20/22;3/20/22;1;1414;Apartment
619;3/20/22;3/20/22;2;1342;Pub
619;3/20/22;3/20/22;0;1414;Apartment
619;3/20/22;3/21/22;2;1798;Pub
619;3/21/22;3/21/22;7;1414;Apartment
619;3/21/22;3/21/22;8;1766;Workplace
619;3/21/22;3/22/22;15;1414;Apartment
619;3/22/22;3/22/22;0;1803;Restaurant
619;3/22/22;3/23/22;15;1414;Apartment
619;3/23/22;3/23/22;0;1803;Restaurant
619;3/23/22;3/24/22;8;1414;Apartment
619;3/24/22;3/24/22;8;1766;Workplace
619;3/24/22;3/25/22;15;1414;Apartment
619;3/25/22;3/25/22;8;1766;Workplace
619;3/25/22;3/26/22;15;1414;Apartment
619;3/26/22;3/26/22;8;1766;Workplace
619;3/26/22;3/27/22;15;1414;Apartment
619;3/27/22;3/27/22;8;1766;Workplace
619;3/27/22;3/28/22;15;1414;Apartment
619;3/28/22;3/28/22;8;1766;Workplace
619;3/28/22;3/30/22;6;1414;Apartment
619;3/30/22;3/30/22;0;1803;Restaurant
619;3/30/22;3/30/22;0;1414;Apartment
