Table 1
participantid;jobid;datefrom;dateto;
0;254;2022-03-01;2023-05-21;
1;929;2022-03-01;2023-05-21;
2;348;2022-03-01;2023-05-21;
3;316;2022-03-01;2023-05-21;
4;177;2022-03-01;2023-05-21;
4;329;2022-03-02;2022-03-02;
4;332;2022-03-02;2022-03-02;
5;33;2022-03-01;2023-05-21;
6;89;2022-03-01;2023-05-21;
7;270;2022-03-01;2023-05-21;
8;20;2022-03-01;2023-05-21;
9;21;2022-03-01;2023-05-21;
10;29;2022-03-01;2023-05-21;
11;625;2022-03-01;2023-05-21;
12;1205;2022-03-01;2023-05-21;
13;330;2022-03-01;2023-05-21;
14;139;2022-03-01;2023-05-21;
15;730;2022-03-01;2023-05-21;
16;297;2022-03-01;2023-05-21;
17;603;2022-03-01;2023-05-21;
18;278;2022-03-01;2023-05-21;
19;206;2022-03-01;2023-05-21;
20;342;2022-03-01;2023-05-21;
21;301;2022-03-01;2023-05-21;
22;102;2022-03-01;2023-05-21;
23;1037;2022-03-01;2023-05-21;
24;57;2022-03-01;2023-05-21;
25;159;2022-03-01;2023-05-21;
26;194;2022-03-01;2023-05-21;
27;585;2022-03-01;2023-05-21;
28;1244;2022-03-01;2023-05-21;
29;80;2022-03-01;2023-05-21;
30;144;2022-03-02;2022-03-02;
30;154;2022-03-01;2022-03-02;
30;619;2022-03-02;2023-05-21;
30;632;2022-03-02;2022-03-02;
30;665;2022-03-02;2022-03-02;
30;1119;2022-03-02;2022-03-02;
31;932;2022-03-01;2023-05-21;
32;832;2022-03-01;2023-05-21;
33;803;2022-03-01;2023-05-21;
34;319;2022-03-01;2023-05-21;
35;294;2022-03-01;2023-05-21;
36;212;2022-03-01;2023-05-21;
37;367;2022-03-01;2023-05-21;
38;1022;2022-03-01;2023-05-21;
39;171;2022-03-01;2023-05-21;
40;228;2022-03-01;2022-04-03;
40;534;2022-04-04;2023-05-21;
40;707;2022-04-03;2022-04-05;
40;797;2022-04-04;2022-04-05;
40;847;2022-04-03;2022-04-05;
41;54;2022-03-01;2023-05-21;
42;723;2022-03-01;2023-05-21;
43;1019;2022-03-01;2023-05-21;
45;286;2022-03-01;2023-05-21;
46;1228;2022-03-01;2023-05-21;
47;222;2022-03-01;2023-05-21;
48;66;2022-03-01;2023-05-21;
49;1024;2022-03-01;2023-05-21;
50;112;2022-03-01;2023-05-21;
51;24;2022-03-01;2023-05-21;
52;192;2022-03-01;2023-05-21;
53;1211;2022-03-01;2023-05-21;
54;71;2022-03-01;2023-05-21;
55;38;2022-03-01;2023-05-21;
56;128;2022-03-01;2023-05-21;
57;76;2022-03-01;2023-05-21;
58;549;2022-03-01;2023-05-21;
59;581;2022-03-01;2023-05-21;
60;305;2022-03-01;2023-05-21;
61;214;2022-03-01;2023-05-21;
62;202;2022-03-01;2023-05-21;
63;115;2022-03-01;2023-05-21;
64;273;2022-03-01;2023-05-21;
65;359;2022-03-01;2023-05-21;
66;267;2022-03-01;2023-05-21;
67;82;2022-03-01;2023-05-21;
68;161;2022-03-01;2023-05-21;
69;347;2022-03-01;2023-05-21;
70;132;2022-03-01;2023-05-21;
71;138;2022-03-01;2023-05-21;
72;385;2022-03-01;2023-05-21;
