dt_week_of_year,employerid,ts,employees_count
13.0,379,2022-04-01,1.0
13.0,381,2022-04-01,4.0
13.0,382,2022-04-01,4.0
13.0,383,2022-04-01,6.0
13.0,384,2022-04-01,3.0
13.0,385,2022-04-01,5.0
13.0,386,2022-04-01,5.0
13.0,387,2022-04-01,2.0
13.0,388,2022-04-01,5.0
13.0,389,2022-04-01,3.0
13.0,390,2022-04-01,3.0
13.0,391,2022-04-01,2.0
13.0,392,2022-04-01,3.0
13.0,393,2022-04-01,4.0
13.0,394,2022-04-01,1.0
13.0,395,2022-04-01,3.0
13.0,396,2022-04-01,7.0
13.0,397,2022-04-01,5.0
13.0,398,2022-04-01,4.0
13.0,399,2022-04-01,5.0
13.0,400,2022-04-01,2.0
13.0,401,2022-04-01,5.0
13.0,402,2022-04-01,4.0
13.0,403,2022-04-01,6.0
13.0,404,2022-04-01,1.0
13.0,405,2022-04-01,5.0
13.0,406,2022-04-01,6.0
13.0,407,2022-04-01,4.0
13.0,408,2022-04-01,6.0
13.0,409,2022-04-01,1.0
13.0,410,2022-04-01,4.0
13.0,411,2022-04-01,2.0
13.0,412,2022-04-01,2.0
13.0,413,2022-04-01,5.0
13.0,414,2022-04-01,5.0
13.0,415,2022-04-01,5.0
13.0,416,2022-04-01,4.0
13.0,417,2022-04-01,3.0
13.0,418,2022-04-01,4.0
13.0,419,2022-04-01,2.0
13.0,420,2022-04-01,1.0
13.0,421,2022-04-01,5.0
13.0,422,2022-04-01,4.0
13.0,423,2022-04-01,5.0
13.0,424,2022-04-01,5.0
13.0,425,2022-04-01,4.0
13.0,426,2022-04-01,4.0
13.0,427,2022-04-01,5.0
13.0,428,2022-04-01,3.0
13.0,429,2022-04-01,5.0
13.0,430,2022-04-01,1.0
13.0,431,2022-04-01,1.0
13.0,432,2022-04-01,4.0
13.0,433,2022-04-01,1.0
13.0,434,2022-04-01,5.0
13.0,435,2022-04-01,5.0
13.0,436,2022-04-01,3.0
13.0,437,2022-04-01,7.0
13.0,438,2022-04-01,5.0
13.0,439,2022-04-01,6.0
13.0,440,2022-04-01,5.0
13.0,441,2022-04-01,5.0
13.0,829,2022-04-01,1.0
13.0,830,2022-04-01,4.0
13.0,831,2022-04-01,3.0
13.0,833,2022-04-01,3.0
13.0,834,2022-04-01,2.0
13.0,836,2022-04-01,2.0
13.0,837,2022-04-01,6.0
13.0,838,2022-04-01,4.0
13.0,839,2022-04-01,1.0
13.0,840,2022-04-01,3.0
13.0,841,2022-04-01,5.0
13.0,842,2022-04-01,3.0
13.0,843,2022-04-01,4.0
13.0,844,2022-04-01,1.0
13.0,845,2022-04-01,4.0
13.0,846,2022-04-01,1.0
13.0,847,2022-04-01,5.0
13.0,848,2022-04-01,2.0
13.0,849,2022-04-01,2.0
13.0,850,2022-04-01,4.0
13.0,851,2022-04-01,3.0
13.0,852,2022-04-01,4.0
13.0,853,2022-04-01,4.0
13.0,854,2022-04-01,3.0
13.0,855,2022-04-01,5.0
13.0,856,2022-04-01,3.0
13.0,857,2022-04-01,5.0
13.0,859,2022-04-01,5.0
13.0,860,2022-04-01,1.0
13.0,861,2022-04-01,2.0
13.0,862,2022-04-01,2.0
13.0,863,2022-04-01,4.0
13.0,864,2022-04-01,3.0
13.0,865,2022-04-01,5.0
13.0,866,2022-04-01,2.0
13.0,867,2022-04-01,5.0
13.0,868,2022-04-01,6.0
13.0,869,2022-04-01,4.0
13.0,870,2022-04-01,4.0
13.0,871,2022-04-01,5.0
13.0,872,2022-04-01,3.0
13.0,873,2022-04-01,6.0
13.0,874,2022-04-01,6.0
13.0,875,2022-04-01,1.0
13.0,876,2022-04-01,7.0
13.0,877,2022-04-01,8.0
13.0,878,2022-04-01,6.0
13.0,879,2022-04-01,2.0
13.0,880,2022-04-01,3.0
13.0,881,2022-04-01,2.0
13.0,882,2022-04-01,2.0
13.0,883,2022-04-01,8.0
13.0,884,2022-04-01,1.0
13.0,885,2022-04-01,5.0
13.0,886,2022-04-01,3.0
13.0,887,2022-04-01,5.0
13.0,888,2022-04-01,3.0
13.0,889,2022-04-01,2.0
13.0,890,2022-04-01,1.0
13.0,891,2022-04-01,5.0
13.0,1279,2022-04-01,3.0
13.0,1280,2022-04-01,2.0
13.0,1281,2022-04-01,4.333333333333333
13.0,1282,2022-04-01,3.0
13.0,1283,2022-04-01,6.0
13.0,1284,2022-04-01,4.0
13.0,1285,2022-04-01,6.0
13.0,1286,2022-04-01,5.0
13.0,1287,2022-04-01,4.0
13.0,1288,2022-04-01,3.0
13.0,1289,2022-04-01,4.0
13.0,1290,2022-04-01,2.0
13.0,1291,2022-04-01,5.0
13.0,1292,2022-04-01,2.0
13.0,1293,2022-04-01,1.0
13.0,1294,2022-04-01,1.0
13.0,1295,2022-04-01,5.0
13.0,1296,2022-04-01,3.0
13.0,1297,2022-04-01,5.0
13.0,1298,2022-04-01,6.0
13.0,1299,2022-04-01,6.0
13.0,1300,2022-04-01,4.0
13.0,1301,2022-04-01,1.0
13.0,1302,2022-04-01,3.0
13.0,1303,2022-04-01,3.0
13.0,1304,2022-04-01,4.0
13.0,1305,2022-04-01,2.3333333333333335
13.0,1306,2022-04-01,6.0
13.0,1307,2022-04-01,5.0
13.0,1308,2022-04-01,2.0
13.0,1309,2022-04-01,3.0
13.0,1310,2022-04-01,2.0
13.0,1311,2022-04-01,5.0
13.0,1312,2022-04-01,1.0
13.0,1313,2022-04-01,4.0
13.0,1314,2022-04-01,3.0
13.0,1315,2022-04-01,7.0
13.0,1316,2022-04-01,3.0
13.0,1317,2022-04-01,3.0
13.0,1318,2022-04-01,3.0
13.0,1319,2022-04-01,3.0
13.0,1320,2022-04-01,2.0
13.0,1321,2022-04-01,1.0
13.0,1322,2022-04-01,2.0
13.0,1323,2022-04-01,6.0
13.0,1324,2022-04-01,2.0
13.0,1325,2022-04-01,3.0
13.0,1326,2022-04-01,5.0
13.0,1327,2022-04-01,1.0
13.0,1328,2022-04-01,2.0
13.0,1329,2022-04-01,2.0
13.0,1330,2022-04-01,6.0
13.0,1331,2022-04-01,2.0
13.0,1332,2022-04-01,1.0
13.0,1333,2022-04-01,1.0
13.0,1334,2022-04-01,3.0
13.0,1335,2022-04-01,1.0
13.0,1336,2022-04-01,2.0
13.0,1337,2022-04-01,4.0
13.0,1338,2022-04-01,2.0
13.0,1339,2022-04-01,4.0
13.0,1340,2022-04-01,3.0
13.0,1341,2022-04-01,5.0
13.0,1734,2022-04-01,3.0
