dt,venuetype,venueid,revenue
2022-04-01,apartment,1,768.16
2022-04-01,apartment,2,1014.55
2022-04-01,apartment,5,411.5
2022-04-01,apartment,9,433.45
2022-04-01,apartment,12,509.34
2022-04-01,apartment,13,601.7
2022-04-01,apartment,14,758.99
2022-04-01,apartment,16,681.2
2022-04-01,apartment,17,698.59
2022-04-01,apartment,18,419.73
2022-04-01,apartment,19,829.03
2022-04-01,apartment,20,1263.76
2022-04-01,apartment,22,696.8
2022-04-01,apartment,23,794.25
2022-04-01,apartment,26,740.7
2022-04-01,apartment,28,709.61
2022-04-01,apartment,30,1135.74
2022-04-01,apartment,31,749.32
2022-04-01,apartment,33,698.63
2022-04-01,apartment,35,1029.66
2022-04-01,apartment,38,839.46
2022-04-01,apartment,39,749.32
2022-04-01,apartment,41,790.08
2022-04-01,apartment,42,794.25
2022-04-01,apartment,44,1068.07
2022-04-01,apartment,46,818.89
2022-04-01,apartment,47,628.22
2022-04-01,apartment,49,428.87
2022-04-01,apartment,51,455.39
2022-04-01,apartment,52,751.67
2022-04-01,apartment,53,817.46
2022-04-01,apartment,54,749.32
2022-04-01,apartment,55,502.03
2022-04-01,apartment,56,808.97
2022-04-01,apartment,58,665.25
2022-04-01,apartment,59,379.49
2022-04-01,apartment,62,794.25
2022-04-01,apartment,64,1104.33
2022-04-01,apartment,66,1135.74
2022-04-01,apartment,69,514.83
2022-04-01,apartment,70,422.08
2022-04-01,apartment,72,395.04
2022-04-01,apartment,73,702.29
2022-04-01,apartment,74,846.42
2022-04-01,apartment,75,1562.73
2022-04-01,apartment,76,702.29
2022-04-01,apartment,80,550.49
2022-04-01,apartment,83,480.08
2022-04-01,apartment,84,376.75
2022-04-01,apartment,88,1014.55
2022-04-01,apartment,90,668.15
2022-04-01,apartment,91,560.9
2022-04-01,apartment,92,668.99
2022-04-01,apartment,93,726.13
2022-04-01,apartment,94,420.64
2022-04-01,apartment,95,429.79
2022-04-01,apartment,97,1013.2
2022-04-01,apartment,100,472.77
