dt,venuetype,revenue
2022-04-01,apartment,560619.2999999997
2022-04-01,Pub,12029.759736780004
2022-04-01,Restaurant,5124.079999999999
2022-04-02,Pub,29261.068809945013
2022-04-02,Restaurant,5366.169999999999
2022-04-03,Pub,20665.36921764001
2022-04-03,Restaurant,5623.919999999998
2022-04-04,Pub,8708.029794
2022-04-04,Restaurant,4942.589999999999
2022-04-05,Pub,10328.720968340001
2022-04-05,Restaurant,5102.519999999998
2022-04-06,Pub,9659.868860265004
2022-04-06,Restaurant,5062.549999999997
2022-04-07,Pub,12181.73553924
2022-04-07,Restaurant,5062.699999999997
2022-04-08,Pub,10919.949822850003
2022-04-08,Restaurant,4929.489999999999
2022-04-09,Pub,23924.248114065012
2022-04-09,Restaurant,5582.8099999999995
2022-04-10,Pub,18831.056273470007
2022-04-10,Restaurant,5617.809999999999
2022-04-11,Pub,7672.132707205001
2022-04-11,Restaurant,5008.419999999997
2022-04-12,Pub,8249.532049545
2022-04-12,Restaurant,4988.639999999999
2022-04-13,Pub,10203.328186185005
2022-04-13,Restaurant,4893.659999999997
2022-04-14,Pub,9136.712129565003
2022-04-14,Restaurant,5109.069999999999
2022-04-15,Pub,10579.476119470006
2022-04-15,Restaurant,4979.139999999999
2022-04-16,Pub,26612.663111414993
2022-04-16,Restaurant,5429.579999999999
2022-04-17,Pub,19847.912511365008
2022-04-17,Restaurant,5611.719999999999
2022-04-18,Pub,7230.172874015
2022-04-18,Restaurant,4908.5999999999985
2022-04-19,Pub,7133.247797565002
2022-04-19,Restaurant,4979.609999999999
2022-04-20,Pub,8285.670032610002
2022-04-20,Restaurant,5007.529999999998
2022-04-21,Pub,9542.335986870003
2022-04-21,Restaurant,4880.15
2022-04-22,Pub,10111.420898815002
2022-04-22,Restaurant,4944.089999999998
2022-04-23,Pub,24652.979007150017
2022-04-23,Restaurant,5130.22
2022-04-24,Pub,18742.956724875014
2022-04-24,Restaurant,5457.82
2022-04-25,Pub,8086.714392810002
2022-04-25,Restaurant,5063.719999999998
2022-04-26,Pub,7282.888824305002
2022-04-26,Restaurant,5021.4299999999985
2022-04-27,Pub,7176.937237575001
2022-04-27,Restaurant,4904.48
2022-04-28,Pub,9061.018656575001
2022-04-28,Restaurant,5010.599999999998
2022-04-29,Pub,9831.060378795004
2022-04-29,Restaurant,4957.509999999998
2022-04-30,Pub,22781.605540510005
2022-04-30,Restaurant,5560.819999999998
2022-05-01,apartment,558450.7799999998
2022-05-01,Pub,19231.34533545501
2022-05-01,Restaurant,5246.899999999999
2022-05-02,Pub,7076.8845789900015
2022-05-02,Restaurant,5015.009999999998
2022-05-03,Pub,7251.764954290001
2022-05-03,Restaurant,5029.059999999999
2022-05-04,Pub,7587.601843945
2022-05-04,Restaurant,4918.499999999997
2022-05-05,Pub,7531.580909720001
2022-05-05,Restaurant,4986.820000000001
2022-05-06,Pub,8848.066427180001
2022-05-06,Restaurant,4895.129999999997
2022-05-07,Pub,24218.031558670013
2022-05-07,Restaurant,5455.719999999998
2022-05-08,Pub,19241.72779797501
2022-05-08,Restaurant,5446.999999999998
2022-05-09,Pub,6804.927712520001
2022-05-09,Restaurant,5010.959999999998
2022-05-10,Pub,5948.537192530001
2022-05-10,Restaurant,5001.329999999998
2022-05-11,Pub,5404.647918199999
2022-05-11,Restaurant,4860.359999999998
2022-05-12,Pub,7213.618324145002
2022-05-12,Restaurant,4908.379999999998
2022-05-13,Pub,9242.57538722
2022-05-13,Restaurant,4867.099999999998
2022-05-14,Pub,23738.391857535
2022-05-14,Restaurant,5408.979999999999
2022-05-15,Pub,18140.811851350012
2022-05-15,Restaurant,5592.449999999999
2022-05-16,Pub,6051.040054794999
2022-05-16,Restaurant,5003.11
2022-05-17,Pub,6682.624795650002
2022-05-17,Restaurant,4989.319999999999
2022-05-18,Pub,5668.6275866900005
2022-05-18,Restaurant,5001.209999999999
2022-05-19,Pub,7814.147612885002
2022-05-19,Restaurant,4868.82
2022-05-20,Pub,8689.362729585002
2022-05-20,Restaurant,4923.289999999998
2022-05-21,Pub,23686.367718260004
2022-05-21,Restaurant,5568.039999999999
2022-05-22,Pub,20020.643105405008
2022-05-22,Restaurant,5454.489999999999
2022-05-23,Pub,7190.9344998900015
2022-05-23,Restaurant,4960.539999999999
2022-05-24,Pub,5335.048434490001
2022-05-24,Restaurant,4962.149999999998
2022-05-25,Pub,5668.170399235
2022-05-25,Restaurant,4926.549999999997
2022-05-26,Pub,6746.969472445002
